City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
236,spornoye,50.8448,37.2913,-4.86,94,100,3.89,RU,1675617796
237,brae,60.3964,-1.353,6.91,79,100,9.88,GB,1675617796
238,birjand,32.8663,59.2211,4.26,52,0,0.0,IR,1675617641
239,inuvik,68.3499,-133.7218,-35.52,68,20,0.0,CA,1675617797
240,lesnoy,57.6198,63.0784,-15.11,99,99,1.17,RU,1675617797
241,namibe,-15.1961,12.1522,23.29,73,59,3.98,AO,1675617797
242,geraldton,-28.7667,114.6,23.23,73,100,5.14,AU,1675617798
243,hushitai,41.9322,123.5114,-5.05,62,80,3.47,CN,1675617798
244,srednekolymsk,67.45,153.6833,-37.0,100,100,2.85,RU,1675617695
245,sturgeon falls,46.3646,-79.9326,-3.02,99,100,0.46,CA,1675617798
246,jasper,37.2001,-94.3502,11.8,52,0,1.54,US,1675617799
247,gdynia,54.5189,18.5319,-0.62,83,75,1.54,PL,1675617800
248,kamaishi,39.2667,141.8833,-0.76,77,12,2.71,JP,1675617800
249,werda,-25.2667,23.2833,30.92,32,58,3.21,BW,1675617801
250,bambous virieux,-20.3428,57.7575,26.79,80,76,5.57,MU,1675617801
251,gorontalo,0.5412,123.0595,23.74,87,100,1.6,ID,1675617802
252,piney green,34.716,-77.3202,17.96,50,100,1.54,US,1675617802
253,amahai,-3.3333,128.9167,25.06,85,100,3.34,ID,1675617802
254,lavrentiya,65.5833,-171.0,-20.23,96,100,3.75,RU,1675617623
255,peski,55.2163,38.7626,-5.29,97,99,2.54,RU,1675617803
256,luwuk,-0.9516,122.7875,25.05,84,88,2.21,ID,1675617570
257,fort wellington,6.4,-57.6,26.56,79,70,5.51,GY,1675617504
258,port keats,-14.25,129.55,26.37,77,29,0.63,AU,1675617803
259,krasnaya polyana,56.242,51.1442,-13.99,99,100,1.19,RU,1675617804
260,egvekinot,66.3167,-179.1667,-29.64,87,100,5.25,RU,1675617804
261,udachnyy,66.4167,112.4,-43.08,100,81,0.97,RU,1675617804
262,riyadh,24.6877,46.7219,19.08,35,6,3.02,SA,1675617587
263,ponta do sol,32.6667,-17.1,18.89,48,29,1.72,PT,1675617648
264,najran,17.4924,44.1277,22.36,28,100,1.31,SA,1675617577
265,yar-sale,66.8333,70.8333,-20.93,99,97,2.98,RU,1675617805
266,scottsbluff,41.8666,-103.6672,2.76,72,0,3.09,US,1675617805
267,vila,42.0304,-8.1588,10.39,46,0,1.72,PT,1675617805
268,alpinopolis,-20.8636,-46.3881,25.44,72,100,3.11,BR,1675617806
269,ambulu,-8.345,113.6058,24.4,88,100,1.74,ID,1675617571
270,eureka,40.8021,-124.1637,9.34,93,96,2.68,US,1675617806
271,san cristobal,7.7669,-72.225,25.1,61,49,3.69,VE,1675617508
272,digapahandi,19.3667,84.5833,18.99,62,2,1.36,IN,1675617563
273,quthing,-30.4,27.7003,23.68,37,57,1.66,LS,1675617807
274,kailua,21.4022,-157.7394,23.14,86,58,1.79,US,1675617807
275,cepelare,41.7333,24.6833,-7.34,93,99,3.95,BG,1675617807
276,fortuna,40.5982,-124.1573,9.19,94,75,0.45,US,1675617808
277,bolobo,-2.1667,16.2333,25.53,75,79,3.22,CD,1675617808
278,olafsvik,64.8945,-23.7142,6.39,91,93,10.53,IS,1675617808
279,caborca,30.5838,-111.101,20.78,18,0,1.11,MX,1675617808
280,sao joao da barra,-21.6403,-41.0511,35.05,73,13,4.19,BR,1675617809
281,inhambane,-23.865,35.3833,25.55,77,3,5.89,MZ,1675617651
282,lompoc,34.6391,-120.4579,14.22,93,40,6.69,US,1675617533
283,pevek,69.7008,170.3133,-39.05,100,74,1.19,RU,1675617809
284,kardymovo,54.8902,32.4311,-4.8,91,100,2.96,RU,1675617809
285,peace river,56.2501,-117.286,-2.41,96,75,3.09,CA,1675617810
286,killybegs,54.6333,-8.45,7.84,79,72,4.72,IE,1675617810
287,veraval,20.9,70.3667,22.03,55,3,4.97,IN,1675617811
288,namatanai,-3.6667,152.4333,25.58,81,99,1.41,PG,1675617811
289,aykhal,66.0,111.5,-38.22,100,56,1.28,RU,1675617811
290,las juntas,19.4167,-104.7,23.74,32,0,1.76,MX,1675617812
291,grindavik,63.8424,-22.4338,8.26,100,100,14.92,IS,1675617812
292,ketchikan,55.3422,-131.6461,3.99,93,75,1.54,US,1675617812
293,monte escobedo,22.3,-103.5833,18.38,21,5,2.48,MX,1675617813
294,aloleng,16.1307,119.7824,25.22,79,98,4.3,PH,1675617813
295,saltpond,5.2091,-1.0606,28.4,76,99,6.06,GH,1675617813
296,leningradskiy,69.3833,178.4167,-32.91,99,100,2.03,RU,1675617813
297,kattivakkam,13.2167,80.3167,25.05,76,79,3.41,IN,1675617814
298,quesnel,52.9999,-122.5029,4.28,75,100,3.09,CA,1675617814
299,bogale,16.2833,95.4,22.8,57,9,3.18,MM,1675617814
300,kieta,-6.2167,155.6333,25.54,85,100,1.29,PG,1675617815
301,kavieng,-2.5744,150.7967,27.49,73,100,0.96,PG,1675617792
302,avera,33.194,-82.5271,13.54,61,100,0.53,US,1675617815
303,boulder city,35.9786,-114.8325,15.52,33,75,2.06,US,1675617815
304,chumikan,54.7183,135.315,-21.1,89,86,7.03,RU,1675617816
305,bilibino,68.0546,166.4372,-32.56,100,100,0.92,RU,1675617816
306,sibu,2.3,111.8167,24.17,100,40,1.03,MY,1675617816
307,kumluca,36.3703,30.2869,7.46,85,98,3.45,TR,1675617817
308,nuuk,64.1835,-51.7216,-10.66,79,75,3.09,GL,1675617744
309,kochubey,44.3861,46.5825,0.18,80,98,5.4,RU,1675617817
310,nyurba,63.2842,118.3319,-47.84,100,64,1.52,RU,1675617817
311,hailar,49.2,119.7,-27.53,100,91,2.43,CN,1675617818
312,clyde river,70.4692,-68.5914,-24.87,58,100,7.2,CA,1675617818
313,vestmanna,62.1564,-7.1664,6.51,100,100,8.75,FO,1675617564
314,roma,43.2128,-75.4557,5.46,50,0,3.09,US,1675617819
315,gotsu,35.0,132.2167,3.75,71,3,2.7,JP,1675617819
316,saint-georges,12.0564,-61.7485,28.82,70,75,10.29,GD,1675617819
317,mahebourg,-20.4081,57.7,26.81,80,81,5.68,MU,1675617820
318,coquimbo,-29.9533,-71.3436,22.85,60,0,6.17,CL,1675617568
319,kurdzhinovo,43.9884,40.9552,-2.86,90,94,0.41,RU,1675617820
320,contamana,-7.3333,-75.0167,29.6,52,88,1.57,PE,1675617790
321,oyama,36.3,139.8,6.99,59,100,2.91,JP,1675617820
322,grand-santi,4.25,-54.3833,25.23,96,100,1.75,GF,1675617821
323,carutapera,-1.195,-46.02,29.11,70,49,4.12,BR,1675617665
324,bagdarin,54.4333,113.6,-23.52,93,85,1.87,RU,1675617822
325,ruidoso,33.3317,-105.673,13.92,19,13,6.69,US,1675617822
326,puntarenas,9.9763,-84.8384,30.87,45,8,2.77,CR,1675617585
327,stornoway,58.2093,-6.3865,7.18,84,75,12.86,GB,1675617823
328,adrar,20.5022,-10.0711,22.34,17,68,4.92,MR,1675617823
329,port victoria,0.0939,33.9756,24.02,69,65,4.41,KE,1675617823
330,faya,18.3851,42.4509,14.06,59,98,2.43,SA,1675617824
331,pathein,16.7833,94.7333,21.29,63,6,3.4,MM,1675617824
332,asau,46.4333,26.4,-4.29,89,94,2.66,RO,1675617824
333,amapa,1.0,-52.0,26.51,89,99,1.34,BR,1675617825
334,terrace bay,48.7834,-87.1,-12.91,82,100,3.96,CA,1675617550
335,lorengau,-2.0226,147.2712,27.07,79,100,0.83,PG,1675617537
336,tagusao,9.1924,117.8141,25.28,88,72,2.95,PH,1675617825
337,kununurra,-15.7667,128.7333,25.99,89,68,0.0,AU,1675617592
338,teofilo otoni,-17.8575,-41.5053,33.37,45,0,1.2,BR,1675617826
339,alta floresta,-9.8756,-56.0861,29.9,70,75,1.03,BR,1675617826
340,pasir gudang,1.4584,103.8805,25.14,94,75,1.03,MY,1675617826
341,parabel,58.6978,81.4825,-18.32,100,97,1.9,RU,1675617827
342,talavera de la reina,39.9635,-4.8308,12.15,48,0,2.81,ES,1675617827
343,tokur,53.1333,132.9,-28.6,100,100,1.31,RU,1675617827
344,bargteheide,53.7333,10.2667,2.17,86,80,0.45,DE,1675617828
345,vila franca do campo,37.7167,-25.4333,16.23,72,0,3.19,PT,1675617655
346,nishihara,26.1842,127.7558,19.81,88,75,3.09,JP,1675617586
347,general pico,-35.6566,-63.7568,34.69,16,6,5.38,AR,1675617828
348,los llanos de aridane,28.6585,-17.9182,17.86,65,20,4.63,ES,1675617828
349,tarko-sale,64.9225,77.785,-23.82,100,95,1.96,RU,1675617829
